some_id,person_count,trip_id,passenger_count
1201905359,1,1201905359,1
1202989588,1,1202989588,1
1203824585,6,1203824585,6
1201023459,1,1201023459,1
1200131637,5,1200131637,5
1201475277,1,1201475277,1
1202210497,2,1202210497,2
1202944231,1,1202944231,1
1202628300,1,1202628300,1
1200425150,5,1200425150,5
1201746944,1,1201746944,1
1200436613,1,1200436613,1
1200864931,5,1200864931,5
1202695666,5,1202695666,5
1200842433,2,1200842433,2
1200018648,1,1200018648,1
1203057571,6,1203057571,6
1201565885,2,1201565885,2
1202255377,1,1202255377,1
1201894280,1,1201894280,1
1202650668,2,1202650668,2
1201452450,5,1201452450,5
1200695721,1,1200695721,1
1201565904,5,1201565904,5
1200966844,1,1200966844,1
1201441307,3,1201441307,3
1200932713,1,1200932713,1
1201441308,3,1201441308,3
1201147746,1,1201147746,1
1203452480,1,1203452480,1
1203046109,1,1203046109,1
1200267158,1,1200267158,1
1202955763,1,1202955763,1
1201758297,1,1201758297,1
1202538044,1,1202538044,1
1202368372,2,1202368372,2
1203633165,1,1203633165,1
1202718223,1,1202718223,1
1202210499,5,1202210499,5
1202492682,1,1202492682,1
1201068604,1,1201068604,1
1203813283,5,1203813283,5
1200481856,1,1200481856,1
1202154267,1,1202154267,1
1201973571,2,1201973571,2
1201633895,1,1201633895,1
1200470649,2,1200470649,2
1200414009,1,1200414009,1
1200041184,1,1200041184,1
1200921258,6,1200921258,6
1202390724,1,1202390724,1
1202187988,1,1202187988,1
1202018506,1,1202018506,1
1203204435,1,1203204435,1
1201452431,5,1201452431,5
1201656422,1,1201656422,1
1200831168,1,1200831168,1
1201362116,1,1201362116,1
1201781052,4,1201781052,4
1202583077,1,1202583077,1
1203350899,3,1203350899,3
1202639403,1,1202639403,1
1203091619,1,1203091619,1
1200323634,6,1200323634,6
1202413472,2,1202413472,2
1201023463,1,1201023463,1
1200639419,1,1200639419,1
1203576657,1,1203576657,1
1201181622,4,1201181622,4
1200978224,2,1200978224,2
1201068599,2,1201068599,2
1203407430,1,1203407430,1
1202763250,1,1202763250,1
1200267153,1,1200267153,1
1201995996,1,1201995996,1
1201565708,1,1201565708,1
1203271985,1,1203271985,1
1201227096,3,1201227096,3
1202673114,3,1202673114,3
1203689570,1,1203689570,1
1201463917,2,1201463917,2
1203790832,5,1203790832,5
1202560443,1,1202560443,1
1200978273,1,1200978273,1
1200718240,1,1200718240,1
1202390721,1,1202390721,1
1200267154,2,1200267154,2
1202786008,1,1202786008,1
1201306471,1,1201306471,1
1200944060,1,1200944060,1
1200380146,1,1200380146,1
1201769615,1,1201769615,1
1201159070,1,1201159070,1
1201950841,1,1201950841,1
1201350995,1,1201350995,1
1202684202,1,1202684202,1
1203407431,1,1203407431,1
1200244512,1,1200244512,1
1201091109,1,1201091109,1
1203181801,1,1203181801,1
